L.,CIDADE,SIGLA,ENDEREÇO,UF,FONE,CEP,COD OBRA,CNPJ,INSCR. ESTAD,Ordens de Serviço,KM IDA E VOLTA,PEDÁGIO IDA E VOLTA
0,Salto,000 - SALTO - Salto,"Rua: 9 de Julho, 400 - Centro","SP ",(011) 4029-4624,13.320-000,1513,56.642.960/0002-90,600.003.895.113,"SALTO CT (https://www.notion.so/0964a39e3f2c4cb9b1bd94208ef8d31e?pvs=21), Modelo Geral (https://www.notion.so/2d068adf5b8e80deba95f335fe849c8c?pvs=21)",210,"R$ 45,00"
1,Indaiatuba,001 - INDAIA - Indaiatuba,"Rua: Candelária, 677 - Centro","SP ",(019) 3834-4411,13.330-180,88530,56.642.960/0003-71,353.002.126.119,,,
2,Itu,002 - ITU - Itu,"Rua: Floriano Peixoto, 640 - Centro","SP ",(011) 4023-1342,13.300-005,20690,56.642.960/0004-52,387.011.146.110,ITU CT (https://www.notion.so/ebf7ee97db074d9ba0be7828f2fdb765?pvs=21),220,"R$ 45,00"
3,São Roque,003 - SROQUE - São Roque,"Av.: Tiradentes, 399 - Centro","SP ",(011) 4712-2459,18.130-470,20695,56.642.960/0005-33,653.011.011.110,SÃO ROQUE (https://www.notion.so/28d9eebc527e45ec9411d46f3ef25f16?pvs=21),320,"R$ 60,20"
4,Itapetininga,004 - ITAPET - Itapetininga,"Rua: Campos Salles, 700 - Centro","SP ",(015) 3272-4362,18.200-005,120333,56.642.960/0007-03,371.025.300.118,,,
5,Sorocaba,005 - SOROC - Sorocaba,"Rua Padre Luiz ,345 - Centro","SP ",(015) 3231-7362,18.035-011,88535,56.642.960/0008-86,669.094.835.110,,,
6,Americana,006 - AMERIC - Americana,"Rua: 12 de Novembro, 295 - Centro","SP ",(019) 3461-3122,13.465-490,94011,56.642.960/0009-67,165.055.770.112,,,
7,Rio Claro,007 - RIOCLA - Rio Claro,"Av.: 5, 408 - Centro","SP ",(019) 3524-2399,13.500-380,88540,56.642.960/0010-09,587.048.672.119,,,
8,Piracicaba,008 - PIRACI - Piracicaba,"Rua: Governador Pedro de Toledo, 500","SP ",(019) 3422-6840,13.400-060,93993,56.642.960/0016-96,535.094.655.114,,,
9,Salto,009 - MATRIZ - Salto,"Rod.:  Eng.° Ermênio de O. Penteado, s/ n.°, km 46 - Joana Leite","SP ",(011) 4028-9400,13.329-903,,56.642.960/0001-00,600.003.886.112,,,
